QE.File.Name,Station,Water.depth..m.,Day, Depth_Nut, Cast_Nut, RosPos_Nut, PO4, NO3+NO2, SiO4, LLN, LLP, Heterotrophic_Bacteria, Prochlorococcus, Synechococcus, Eukaryotes,Time, Latitude, Longitude, Depth, Cast, RosPos, CTD_Temperature, CTD_Salinity, CTD_Oxygen, CTD_Chloropigment, Potential_Temperature, Potential_Density, Bottle_Oxygen, DIC, Alkalinity, pH, PC, PN, PP, PSi, Chlorophyll, Pheopigment,Mixed_Layer_depth,Is_DMC,In_Mixed_Layer
QE005289,6,75,29-Jun,74.1,1,12,0.04,0,,0,0.04,6.426,2.078,0.016,0.011,2017-06-30T10:01:39,26.37,-158.011,75.1,3,16,24.04,35.143,218.1,0.1796,24.024,23.7442,,2002.3,2315,8.087,2.06,0.3,,,0.1,0.07,35,FALSE,FALSE
QE005312,7,100,30-Jun,99,3,16,0.06,0,,0,0.07,4.775,2.739,0.014,0.009,2017-06-30T12:09:23,26.17,-158.022,100.7,1,14,23.11,35.174,216.4,0.2254,23.089,24.0414,,,,,,,,,,,36,FALSE,FALSE
QE005315,7,125,30-Jun,124,3,15,0.08,0,,0.02,0.09,4.267,1.339,0,0.031,2017-06-30T12:06:26,26.17,-158.022,123.9,1,12,22.364,35.196,208.4,0.3741,22.339,24.2727,,,,,,,,,,,36,FALSE,FALSE
QE005920,7,133,30-Jun,124.6,3,12,0.1,0,,0.02,0.1,4.289,1.326,0,0.025,2017-06-30T12:03:32,26.17,-158.022,132,1,10,22.119,35.197,206,0.6471,22.093,24.343,,,,,1.6,0.28,,,0.2,0.49,36,TRUE,FALSE
QE005305,7,15,30-Jun,15.7,3,23,0.04,0,,0,0.04,4.924,1.845,0.014,0.008,2017-06-30T12:20:46,26.17,-158.022,15.4,1,22,25.816,35.2,208.2,0.0868,25.813,23.2445,,2006.3,2318,8.067,1.8,0.27,,,0.05,0.03,36,FALSE,TRUE
QE005916,7,175,30-Jun,174,3,8,0.1,0.54,,,0.1,2.522,0.026,0,0.002,2017-06-30T11:56:28,26.17,-158.022,174.9,1,4,20.586,35.203,211.9,0.1485,20.553,24.7708,,2072.1,2266,8.003,0.78,0.15,,,0.04,0.11,36,FALSE,FALSE
QE005311,7,75,30-Jun,75.6,3,17,0.03,0,,0,0.04,6.333,2.569,0.02,0.016,2017-06-30T12:12:58,26.17,-158.022,75.8,1,16,24.137,35.138,218.1,0.1994,24.121,23.7117,,2001.3,2317,8.07,1.92,0.3,,,0.11,0.07,36,FALSE,FALSE
QE005928,8,100,30-Jun,99.7,2,11,0.06,0,,0,0.07,4.351,2.361,0.01,0.01,2017-06-30T18:50:03,25.925,-158.124,99.1,1,14,22.618,35.214,215.3,0.3003,22.598,24.2129,,,,,,,,,,,25,FALSE,FALSE
QE005947,8,122,30-Jun,109.9,2,10,0.07,0,,0,0.08,4,1.524,0.005,0.012,2017-06-30T18:46:49,25.925,-158.124,122.3,1,9,21.561,35.186,206.9,0.7295,21.537,24.4896,,2038.5,2315,8.008,1.56,0.28,,,0.24,0.54,25,TRUE,FALSE
QE005942,8,125,30-Jun,123.8,2,8,0.13,0.55,,,0.14,3.64,0.773,0,0.025,2017-06-30T18:45:16,25.925,-158.124,123,1,7,21.542,35.188,207.8,0.6944,21.518,24.4964,,,,,,,,,,,25,FALSE,FALSE
